Date,Time,Latitude,Longitude,Max Winds (kt),SS  HWS,RMW nm,Central Pressure (mb),States Affected,Storm Names,States Affected Names,States Affected Names_1,States Affected Names_2,States Affected Names_3,States Affected Names_4,States Affected Names_5,SS HWS max,Central Pressure (mb) min
8/27/1964,0800Z,25.8N,80.1W,95,2,10,968,CFL2,Cleo,Florida,NULL,NULL,NULL,NULL,NULL,2,968
9/10/1964,0600Z,29.9N,81.3W,95,2,5,966,DFL2,Dora,Florida,NULL,NULL,NULL,NULL,NULL,2,966
10/3/1964,2300Z,29.5N,91.5W,90,2,35,959,LA2,Hilda,Louisiana,NULL,NULL,NULL,NULL,NULL,2,959
10/14/1964,2100Z,25.8N,81.4W,90,2,20,970,"BFL2, CFL1",Isbell,Florida,NULL,NULL,NULL,NULL,NULL,2,970
9/8/1965,1100Z,25.0N,80.5W,100,3,30,952,"BFL3, CFL3",Betsy,Florida,NULL,NULL,NULL,NULL,NULL,4,946
6/8/1966,1900Z,24.6N,82.7W,100,3,NULL,962,BFL3,Alma,Florida,NULL,NULL,NULL,NULL,NULL,3,962
10/4/1966,1800Z,25.0N,80.5W,85,2,15,984,CFL2,Inez,Florida,NULL,NULL,NULL,NULL,NULL,2,984
9/20/1967,1200Z,25.9N,97.2W,100,3,10,940,ATX3,Beulah,Texas,NULL,NULL,NULL,NULL,NULL,3,940
10/19/1968,0400Z,28.7N,82.7W,85,2,10,978,"AFL2, DFL1",Gladys,Florida,NULL,NULL,NULL,NULL,NULL,2,978
8/18/1969,0400Z,30.3N,89.4W,150,5,5,900,"MS5, LA5, AL1",Camille,Mississippi, Louisiana, Alabama,NULL,NULL,NULL,5,900
8/3/1970,2100Z,27.8N,97.1W,120,4,10,944,ATX4,Celia,Texas,NULL,NULL,NULL,NULL,NULL,4,944
8/18/1983,0700Z,29.1N,95.1W,100,3,10,962,CTX3,Alicia,Texas,NULL,NULL,NULL,NULL,NULL,3,962
9/13/1984,0700Z,33.9N,78.0W,95,2,15,979,NC2,Diana,North Carolina,NULL,NULL,NULL,NULL,NULL,2,979
7/25/1985,0300Z,32.2N,80.5W,65,1,20,1003,SC1,Bob,South Carolina,NULL,NULL,NULL,NULL,NULL,2,962
8/15/1985,1630Z,29.6N,92.7W,80,1,15,987,LA1,Danny,Louisiana,NULL,NULL,NULL,NULL,NULL,1,984
9/2/1985,1300Z,30.4N,89.2W,100,3,10,959,"AL3,MS3,AFL3",Elena,Alabama, Florida, Mississippi,NULL,NULL,NULL,3,959
9/27/1985,0530Z,35.2N,75.6W,90,2,15,942,NC3,Gloria,North Carolina,NULL,NULL,NULL,NULL,NULL,2,942
10/29/1985,1100Z,29.5N,91.4W,75,1,15,971,LA1,Juan,Louisiana,NULL,NULL,NULL,NULL,NULL,1,971
11/21/1985,2230Z,30.0N,85.4W,85,2,10,967,"AFL2,IGA1",Kate,Florida, Georgia,NULL,NULL,NULL,NULL,2,967
